Date, Close/Last, Volume, Open, High, Low
12/07/2020, $75.825, 2157059, $75.23, $75.9499, $75.18
12/04/2020, $75.73, 1435972, $76.08, $76.1, $75.28
12/03/2020, $76.45, 1487648, $75.94, $76.93, $75.51
12/02/2020, $74.5, 2092057, $74.12, $75.05, $73.655
12/01/2020, $74.6, 1883235, $74.75, $75.05, $74.26
11/30/2020, $73, 3566805, $73.02, $73.61, $72.65
11/27/2020, $75.95, 1095232, $76.29, $76.29, $75.53
11/25/2020, $74.75, 1783038, $74.47, $74.85, $74.08
11/24/2020, $75.79, 1635172, $75.45, $75.85, $74.91
11/23/2020, $74.67, 2595757, $76.06, $76.06, $74.45
11/20/2020, $76.4, 2661342, $75.96, $76.86, $75.96
11/19/2020, $75.18, 3049225, $74.37, $75.47, $74.05
11/18/2020, $75.47, 3060681, $76.58, $76.58, $75
11/17/2020, $75.02, 1772674, $75.33, $75.81, $75
11/16/2020, $75.83, 3108118, $76.7, $76.83, $75.37
11/13/2020, $76.46, 7205533, $77.2, $77.7, $76.16
11/12/2020, $73.3, 5667668, $76, $77.2, $72.86
11/11/2020, $73.44, 6282608, $71.85, $73.96, $71.26
11/10/2020, $73.8, 6034224, $76.35, $76.45, $73.45
11/09/2020, $78.56, 5604931, $80.83, $80.83, $77.3
11/06/2020, $79.76, 5905812, $80.05, $80.28, $79.63
11/05/2020, $80.83, 5021057, $81.22, $81.35, $80.2
11/04/2020, $78.71, 5321484, $77.48, $79.47, $77.18
11/03/2020, $74.97, 5947694, $75.5, $75.9, $74.19
11/02/2020, $77.48, 4204371, $78.38, $78.42, $76.68
10/30/2020, $76.34, 3582319, $77, $77.2, $75.8256
10/29/2020, $78.53, 3841995, $77.85, $78.85, $77.64
10/28/2020, $75.95, 4517214, $76.74, $76.8, $75.72
10/27/2020, $76.75, 3302936, $75.2, $77.14, $75.2
10/26/2020, $72.59, 2333952, $72.44, $72.95, $71.77
10/23/2020, $73.03, 1593648, $72.31, $73.03, $71.52
10/22/2020, $72.2, 1583367, $72.82, $73.1, $72.01
10/21/2020, $72.89, 2154514, $72.68, $73.37, $72.58
10/20/2020, $72.75, 2161311, $72.64, $73.38, $72.58
10/19/2020, $72.13, 1837201, $72.88, $73.29, $71.97
10/16/2020, $72.72, 3445087, $72.32, $72.91, $71.96
10/15/2020, $71.95, 1903955, $70.69, $72.18, $70.62
10/14/2020, $73, 2627164, $73.97, $74.23, $72.96
10/13/2020, $74.04, 3768602, $73.12, $74.24, $72.45
10/12/2020, $73.08, 3195127, $71.73, $73.12, $71.66
10/09/2020, $70.94, 2119395, $70.05, $70.98, $69.67
10/08/2020, $69.56, 2187028, $68.97, $69.63, $68.71
10/07/2020, $69.32, 3890039, $69.2, $69.71, $68.55
10/06/2020, $68.81, 3583313, $68.37, $69.28, $68.2
10/05/2020, $68.39, 1506246, $67.52, $68.57, $67.52
10/02/2020, $67.23, 2560298, $67.46, $68.58, $67.05
10/01/2020, $68.52, 2571246, $68.5, $68.69, $67.75
09/30/2020, $67.65, 3734891, $66.23, $67.75, $65.62
09/29/2020, $65.55, 1647914, $65.6, $65.99, $65.25
09/28/2020, $65.64, 1191691, $65.86, $65.86, $65.02
09/25/2020, $65.31, 4351253, $64.75, $65.51, $64.32
09/24/2020, $65.62, 2265309, $65.1, $66.26, $64.7
09/23/2020, $65.5, 2045107, $66.5, $66.85, $65.5
09/22/2020, $66.38, 1825921, $66.5, $66.5, $65.848
09/21/2020, $66.57, 3414558, $65.34, $66.63, $65.34
09/18/2020, $67.02, 4876775, $66.81, $67.45, $66.69
09/17/2020, $66.66, 2331799, $67.7, $68.59, $66.58
09/16/2020, $68.32, 2134565, $68.75, $69.18, $68.209
09/15/2020, $68.98, 1466529, $69.05, $69.19, $68.73
09/14/2020, $68.46, 1971682, $68.15, $68.66, $67.86
09/11/2020, $66.19, 2406311, $66.38, $66.64, $65.62
09/10/2020, $64.98, 3028853, $65.9, $66.2, $64.98
09/09/2020, $66.33, 2704990, $65.47, $66.53, $65.2
09/08/2020, $64.74, 3321938, $64.6, $65.66, $64.4
09/04/2020, $67.05, 3439913, $66.8, $67.27, $65.29
09/03/2020, $67.22, 4544815, $68.37, $68.45, $66.85
09/02/2020, $70.13, 3754606, $70.66, $70.7, $69.21
09/01/2020, $70.51, 2989394, $69.73, $70.53, $69.35
08/31/2020, $68.34, 3600508, $68.64, $68.65, $67.54
08/28/2020, $70.32, 2338048, $69.83, $70.38, $69.58
08/27/2020, $71.11, 3050852, $72.41, $72.41, $70.89
08/26/2020, $71.21, 3335317, $71.49, $71.49, $71
08/25/2020, $71.17, 3723524, $70.43, $71.33, $69.95
08/24/2020, $69.96, 2968490, $70.96, $71, $69.92
